DUA_number	signed_PIs
DUADS11	awalker24@ucsd.edu,kenneththompson@uci.edu,ruthb18@ucd.edu,michelleyoung4@ucd.edu,paulr23@ucd.edu,nicholaswatson58@ucd.edu,cynthiaf@ucsd.edu,donaldr51@ucsd.edu,jw@uci.edu,christinehill23@ucsd.edu,alexandercox71@ucsd.edu,sm11@ucd.edu,jm46@uci.edu,jamessanders@uci.edu,sharonhall@ucd.edu,samuelh@ucd.edu,sm87@ucd.edu,margaretwilliams@uci.edu,raymondmartinez@ucd.edu,rphillips55@ucd.edu,karenb@uci.edu,timothym@ucd.edu,medwards@ucd.edu,mrobinson@ucd.edu,kwood6@uci.edu,davidr46@ucsd.edu,emilyrivera@uci.edu,kgomez@uci.edu,cjohnson@ucsd.edu,marym@ucd.edu,debrawhite67@ucsd.edu,garyc@uci.edu,jjimenez16@uci.edu,donaldp46@ucsd.edu,nancya@ucd.edu,cruiz60@ucsd.edu,agreen31@ucsd.edu,justinparker6@uci.edu,ln@uci.edu,bphillips7@ucsd.edu,cturner16@ucsd.edu,mreed@uci.edu,cynthiagutierrez22@ucsd.edu,pr@ucd.edu,mn23@ucd.edu,ka@uci.edu,palvarez@ucd.edu,cy49@ucsd.edu,kennethd@uci.edu,katherinecampbell17@uci.edu,markparker@uci.edu,js@uci.edu,ag@ucsd.edu,bm30@ucsd.edu,ms@ucd.edu,markrichardson64@ucd.edu,brandone4@ucsd.edu
DUADS12	markrichardson64@ucd.edu,bphillips7@ucsd.edu,cynthiaf@ucsd.edu,markparker@uci.edu,nicholaswatson58@ucd.edu,davidr46@ucsd.edu,margaretwilliams@uci.edu,js@uci.edu,nancya@ucd.edu,raymondmartinez@ucd.edu,kwood6@uci.edu,kennethd@uci.edu,jjimenez16@uci.edu,cgutierrez98@ucsd.edu,sm87@ucd.edu,samuelh@ucd.edu,jw@uci.edu,debrawhite67@ucsd.edu,kenneththompson@uci.edu,ln@uci.edu,cjohnson@ucsd.edu,cruiz60@ucsd.edu,karenb@uci.edu,mn23@ucd.edu,pr@ucd.edu,katherinecampbell17@uci.edu,ruthb18@ucd.edu,rphillips55@ucd.edu,bm30@ucsd.edu,marym@ucd.edu,jamessanders@uci.edu
DUADS13	cjohnson@ucsd.edu,jjimenez16@uci.edu,donaldp46@ucsd.edu,bm30@ucsd.edu,michelleyoung4@ucd.edu,jamessanders@uci.edu,garyc@uci.edu,cynthiagutierrez22@ucsd.edu,ka@uci.edu,justinparker6@uci.edu,jw@uci.edu,kennethd@uci.edu,christinehill23@ucsd.edu,gh@uci.edu,medwards@ucd.edu,mn23@ucd.edu,kwood6@uci.edu,davidr46@ucsd.edu,cy49@ucsd.edu,ag@ucsd.edu,mreed@uci.edu,margaretwilliams@uci.edu,sharonhall@ucd.edu,raymondmartinez@ucd.edu,katherinecampbell17@uci.edu,donaldr51@ucsd.edu,emilyrivera@uci.edu,nancya@ucd.edu,cruiz60@ucsd.edu,alexandercox71@ucsd.edu,paulr23@ucd.edu,cynthiaf@ucsd.edu,samuelh@ucd.edu,markparker@uci.edu,awalker24@ucsd.edu,timothym@ucd.edu,jm46@uci.edu,sm11@ucd.edu,ln@uci.edu,ms@ucd.edu,palvarez@ucd.edu,pr@ucd.edu,kenneththompson@uci.edu,cgutierrez98@ucsd.edu,ac55@ucsd.edu,ruthb18@ucd.edu,rphillips55@ucd.edu,karenb@uci.edu,nicholaswatson58@ucd.edu,bphillips7@ucsd.edu,cturner16@ucsd.edu,agreen31@ucsd.edu,debrawhite67@ucsd.edu,sm87@ucd.edu,marym@ucd.edu,mrobinson@ucd.edu
DUADS14	ag@ucsd.edu,christinehill23@ucsd.edu,ac55@ucsd.edu,kennethd@uci.edu,emilyrivera@uci.edu,karenb@uci.edu,kgomez@uci.edu,nicholaswatson58@ucd.edu,ln@uci.edu,mreed@uci.edu,margaretwilliams@uci.edu,mn23@ucd.edu,jw@uci.edu,cturner16@ucsd.edu,markrichardson64@ucd.edu,davidr46@ucsd.edu,ms@ucd.edu,mrobinson@ucd.edu,kenneththompson@uci.edu,marym@ucd.edu,kwood6@uci.edu,garyc@uci.edu,ruthb18@ucd.edu,jjimenez16@uci.edu,nancya@ucd.edu,js@uci.edu,cjohnson@ucsd.edu,michelleyoung4@ucd.edu,paulr23@ucd.edu,agreen31@ucsd.edu,justinparker6@uci.edu,cruiz60@ucsd.edu,alexandercox71@ucsd.edu,cynthiaf@ucsd.edu,awalker24@ucsd.edu,donaldp46@ucsd.edu,bphillips7@ucsd.edu,palvarez@ucd.edu,sm87@ucd.edu,rphillips55@ucd.edu,cynthiagutierrez22@ucsd.edu,donaldr51@ucsd.edu,medwards@ucd.edu,cy49@ucsd.edu,samuelh@ucd.edu,markparker@uci.edu,brandone4@ucsd.edu,katherinecampbell17@uci.edu,sharonhall@ucd.edu,ka@uci.edu,jamessanders@uci.edu,bm30@ucsd.edu,raymondmartinez@ucd.edu,pr@ucd.edu,cgutierrez98@ucsd.edu
DUADS15	sharonhall@ucd.edu,markrichardson64@ucd.edu,jw@uci.edu,mn23@ucd.edu,pr@ucd.edu,alexandercox71@ucsd.edu,cynthiaf@ucsd.edu,raymondmartinez@ucd.edu,bphillips7@ucsd.edu,mreed@uci.edu,marym@ucd.edu,nancya@ucd.edu,js@uci.edu,jjimenez16@uci.edu,margaretwilliams@uci.edu,jm46@uci.edu,emilyrivera@uci.edu
DUADS16	cy49@ucsd.edu,ag@ucsd.edu,samuelh@ucd.edu,markrichardson64@ucd.edu,brandone4@ucsd.edu,debrawhite67@ucsd.edu,kenneththompson@uci.edu,emilyrivera@uci.edu,kgomez@uci.edu,karenb@uci.edu,marym@ucd.edu,mn23@ucd.edu,mrobinson@ucd.edu,timothym@ucd.edu,rphillips55@ucd.edu,nicholaswatson58@ucd.edu,raymondmartinez@ucd.edu,ac55@ucsd.edu,sm87@ucd.edu,cjohnson@ucsd.edu,cynthiaf@ucsd.edu,cynthiagutierrez22@ucsd.edu,bphillips7@ucsd.edu,ln@uci.edu,ms@ucd.edu,ruthb18@ucd.edu,gh@uci.edu,jm46@uci.edu,nancya@ucd.edu,cturner16@ucsd.edu,donaldr51@ucsd.edu,agreen31@ucsd.edu,mreed@uci.edu,donaldp46@ucsd.edu,js@uci.edu,medwards@ucd.edu,michelleyoung4@ucd.edu,alexandercox71@ucsd.edu,awalker24@ucsd.edu,cruiz60@ucsd.edu,justinparker6@uci.edu,christinehill23@ucsd.edu,jjimenez16@uci.edu,jw@uci.edu,margaretwilliams@uci.edu,sharonhall@ucd.edu,davidr46@ucsd.edu,cgutierrez98@ucsd.edu,sm11@ucd.edu
DUADS17	mrobinson@ucd.edu,karenb@uci.edu,justinparker6@uci.edu,palvarez@ucd.edu,timothym@ucd.edu,bm30@ucsd.edu,kgomez@uci.edu,sm11@ucd.edu,christinehill23@ucsd.edu,jm46@uci.edu,debrawhite67@ucsd.edu,bphillips7@ucsd.edu,brandone4@ucsd.edu,kenneththompson@uci.edu,samuelh@ucd.edu,ln@uci.edu,donaldp46@ucsd.edu,markparker@uci.edu,marym@ucd.edu,kennethd@uci.edu,markrichardson64@ucd.edu,mreed@uci.edu,cynthiagutierrez22@ucsd.edu,pr@ucd.edu,jamessanders@uci.edu,margaretwilliams@uci.edu,sm87@ucd.edu,js@uci.edu,cgutierrez98@ucsd.edu,nancya@ucd.edu,gh@uci.edu,cturner16@ucsd.edu,cruiz60@ucsd.edu,awalker24@ucsd.edu,ac55@ucsd.edu,kwood6@uci.edu,garyc@uci.edu,sharonhall@ucd.edu,cy49@ucsd.edu,ka@uci.edu,michelleyoung4@ucd.edu,davidr46@ucsd.edu,jw@uci.edu,cjohnson@ucsd.edu,mn23@ucd.edu,alexandercox71@ucsd.edu,cynthiaf@ucsd.edu,nicholaswatson58@ucd.edu,ag@ucsd.edu,ms@ucd.edu,agreen31@ucsd.edu,jjimenez16@uci.edu,donaldr51@ucsd.edu,paulr23@ucd.edu
DUADS18	mreed@uci.edu,agreen31@ucsd.edu,markrichardson64@ucd.edu,marym@ucd.edu,nancya@ucd.edu,katherinecampbell17@uci.edu,cynthiaf@ucsd.edu,debrawhite67@ucsd.edu,alexandercox71@ucsd.edu,cgutierrez98@ucsd.edu,medwards@ucd.edu,justinparker6@uci.edu,ruthb18@ucd.edu,mrobinson@ucd.edu,brandone4@ucsd.edu,cjohnson@ucsd.edu,donaldp46@ucsd.edu,christinehill23@ucsd.edu,donaldr51@ucsd.edu,michelleyoung4@ucd.edu,davidr46@ucsd.edu,palvarez@ucd.edu,ag@ucsd.edu,kenneththompson@uci.edu,rphillips55@ucd.edu,bphillips7@ucsd.edu,nicholaswatson58@ucd.edu,paulr23@ucd.edu,ms@ucd.edu,kwood6@uci.edu
DUADS19	cynthiagutierrez22@ucsd.edu,donaldp46@ucsd.edu,bm30@ucsd.edu,sm11@ucd.edu,justinparker6@uci.edu,nicholaswatson58@ucd.edu,markrichardson64@ucd.edu,davidr46@ucsd.edu,mrobinson@ucd.edu,cgutierrez98@ucsd.edu,jamessanders@uci.edu,cruiz60@ucsd.edu,cynthiaf@ucsd.edu,brandone4@ucsd.edu,samuelh@ucd.edu,nancya@ucd.edu,awalker24@ucsd.edu,paulr23@ucd.edu
DUADS110	rphillips55@ucd.edu,sharonhall@ucd.edu,jamessanders@uci.edu,donaldr51@ucsd.edu,kwood6@uci.edu,kenneththompson@uci.edu,jw@uci.edu,markparker@uci.edu,bphillips7@ucsd.edu,cturner16@ucsd.edu,kgomez@uci.edu,markrichardson64@ucd.edu,cgutierrez98@ucsd.edu,nicholaswatson58@ucd.edu,pr@ucd.edu,alexandercox71@ucsd.edu,mreed@uci.edu,ln@uci.edu,katherinecampbell17@uci.edu,christinehill23@ucsd.edu,cy49@ucsd.edu,jm46@uci.edu,palvarez@ucd.edu,medwards@ucd.edu,timothym@ucd.edu,margaretwilliams@uci.edu,jjimenez16@uci.edu,marym@ucd.edu,samuelh@ucd.edu,ag@ucsd.edu,donaldp46@ucsd.edu,cynthiaf@ucsd.edu
