PI_name	PI_email	certificate	certificate_expiration
Alexander Cox	alexandercox71@ucsd.edu	Biomedical Data Only Research	05/29/2025
Amanda Green	agreen31@ucsd.edu		
Amanda Walker	awalker24@ucsd.edu		
Amy Gray	ag@ucsd.edu		
Anna Carter	ac55@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	05/25/2023
Benjamin Moore	bm30@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	07/07/2025
Benjamin Moore	bm30@ucsd.edu	Biomedical Data Only Research	02/09/2024
Benjamin Moore	bm30@ucsd.edu	Biomedical Informatics Research	10/02/2024
Brandon Evans	brandone4@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	04/16/2024
Brandon Evans	brandone4@ucsd.edu	Biomedical Informatics Research	07/08/2023
Brandon Phillips	bphillips7@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	03/27/2024
Carol Ruiz	cruiz60@ucsd.edu	Biomedical Data Only Research	04/06/2019
Carol Ruiz	cruiz60@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	12/03/2019
Charles Gutierrez	cgutierrez98@ucsd.edu		
Christine Hill	christinehill23@ucsd.edu		
Christine Turner	cturner16@ucsd.edu	Biomedical Data Only Research	08/02/2020
Christopher Johnson	cjohnson@ucsd.edu	Biomedical Informatics Research	08/16/2020
Christopher Johnson	cjohnson@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	12/11/2023
Christopher Young	cy49@ucsd.edu	Biomedical Informatics Research	12/03/2024
Christopher Young	cy49@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	09/26/2024
Cynthia Flores	cynthiaf@ucsd.edu	Biomedical Data Only Research	01/24/2025
Cynthia Flores	cynthiaf@ucsd.edu	Biomedical Informatics Research	05/24/2018
Cynthia Flores	cynthiaf@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	04/01/2025
Cynthia Gutierrez	cynthiagutierrez22@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	02/26/2021
David Richardson	davidr46@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	11/18/2023
Debra White	debrawhite67@ucsd.edu		
Donald Parker	donaldp46@ucsd.edu	Biomedical Informatics Research	10/26/2023
Donald Ross	donaldr51@ucsd.edu	Biomedical Data Only Research	12/20/2021
Donald Ross	donaldr51@ucsd.edu	Biomedical Informatics Responsible Conduct of Research	09/23/2019
Emily Rivera	emilyrivera@uci.edu	Biomedical Informatics Research	03/20/2024
Emily Rivera	emilyrivera@uci.edu	Biomedical Informatics Responsible Conduct of Research	08/23/2024
Emily Rivera	emilyrivera@uci.edu	Biomedical Data Only Research	02/06/2021
Gary Collins	garyc@uci.edu	Biomedical Informatics Research	02/28/2020
George Howard	gh@uci.edu		
Jack Jimenez	jjimenez16@uci.edu		
Jack Smith	js@uci.edu	Biomedical Data Only Research	12/25/2023
James Sanders	jamessanders@uci.edu		
Jason Ward	jw@uci.edu	Biomedical Informatics Responsible Conduct of Research	02/15/2025
Jason Ward	jw@uci.edu	Biomedical Informatics Research	06/23/2021
Jason Ward	jw@uci.edu	Biomedical Data Only Research	04/18/2024
Justin Myers	jm46@uci.edu	Biomedical Informatics Responsible Conduct of Research	03/25/2025
Justin Myers	jm46@uci.edu	Biomedical Data Only Research	04/04/2025
Justin Parker	justinparker6@uci.edu	Biomedical Informatics Responsible Conduct of Research	01/30/2023
Justin Parker	justinparker6@uci.edu	Biomedical Informatics Research	03/23/2024
Justin Parker	justinparker6@uci.edu	Biomedical Data Only Research	02/25/2020
Karen Baker	karenb@uci.edu	Biomedical Informatics Research	07/17/2024
Katherine Campbell	katherinecampbell17@uci.edu		
Kathleen Wood	kwood6@uci.edu	Biomedical Informatics Research	11/10/2023
Kenneth Davis	kennethd@uci.edu		
Kenneth Gomez	kgomez@uci.edu		
Kenneth Thompson	kenneththompson@uci.edu	Biomedical Data Only Research	06/23/2018
Kenneth Thompson	kenneththompson@uci.edu	Biomedical Informatics Research	07/19/2023
Kenneth Thompson	kenneththompson@uci.edu	Biomedical Informatics Responsible Conduct of Research	08/04/2018
Kimberly Adams	ka@uci.edu	Biomedical Informatics Responsible Conduct of Research	02/05/2025
Kimberly Adams	ka@uci.edu	Biomedical Informatics Research	03/24/2025
Larry Nelson	ln@uci.edu	Biomedical Data Only Research	04/18/2025
Margaret Williams	margaretwilliams@uci.edu	Biomedical Data Only Research	08/13/2024
Margaret Williams	margaretwilliams@uci.edu	Biomedical Informatics Research	05/29/2023
Margaret Williams	margaretwilliams@uci.edu	Biomedical Informatics Responsible Conduct of Research	07/13/2018
Maria Reed	mreed@uci.edu	Biomedical Informatics Responsible Conduct of Research	07/09/2019
Maria Reed	mreed@uci.edu	Biomedical Informatics Research	09/27/2018
Maria Reed	mreed@uci.edu	Biomedical Data Only Research	10/31/2023
Mark Parker	markparker@uci.edu		
Mark Richardson	markrichardson64@ucd.edu	Biomedical Data Only Research	03/10/2024
Mark Robinson	mrobinson@ucd.edu	Biomedical Data Only Research	07/21/2023
Mark Robinson	mrobinson@ucd.edu	Biomedical Informatics Research	06/21/2023
Mark Sanders	ms@ucd.edu		
Mary Edwards	medwards@ucd.edu	Biomedical Informatics Responsible Conduct of Research	05/29/2025
Mary Edwards	medwards@ucd.edu	Biomedical Data Only Research	05/29/2018
Mary Myers	marym@ucd.edu	Biomedical Data Only Research	12/30/2023
Matthew Nguyen	mn23@ucd.edu		
Michelle Young	michelleyoung4@ucd.edu	Biomedical Informatics Responsible Conduct of Research	03/02/2024
Nancy Alvarez	nancya@ucd.edu	Biomedical Informatics Responsible Conduct of Research	01/25/2024
Nancy Alvarez	nancya@ucd.edu	Biomedical Data Only Research	11/27/2023
Nicholas Watson	nicholaswatson58@ucd.edu	Biomedical Informatics Research	05/19/2023
Patrick Alvarez	palvarez@ucd.edu	Biomedical Data Only Research	04/01/2025
Patrick Alvarez	palvarez@ucd.edu	Biomedical Informatics Research	07/17/2023
Patrick Rogers	pr@ucd.edu		
Paul Richardson	paulr23@ucd.edu		
Raymond Martinez	raymondmartinez@ucd.edu		
Rebecca Phillips	rphillips55@ucd.edu	Biomedical Data Only Research	05/28/2023
Ruth Bailey	ruthb18@ucd.edu		
Samuel Harris	samuelh@ucd.edu	Biomedical Informatics Responsible Conduct of Research	04/07/2024
Samuel Harris	samuelh@ucd.edu	Biomedical Data Only Research	04/25/2024
Samuel Harris	samuelh@ucd.edu	Biomedical Informatics Research	02/06/2023
Samuel Miller	sm87@ucd.edu	Biomedical Informatics Responsible Conduct of Research	04/30/2019
Sandra Martinez	sm11@ucd.edu	Biomedical Informatics Responsible Conduct of Research	07/30/2024
Sharon Hall	sharonhall@ucd.edu		
Timothy Morgan	timothym@ucd.edu	Biomedical Informatics Responsible Conduct of Research	12/19/2019
Timothy Morgan	timothym@ucd.edu	Biomedical Data Only Research	04/04/2021
