PI_email	Institution_of_dataset	Dataset	Request_timeStamp	Expected_answer
alexandercox71@ucsd.edu	UCI	Data Set 22	1668747266	N
alexandercox71@ucsd.edu	UCSD	Data Set 15	1670526331	N
alexandercox71@ucsd.edu	UCD	Data Set 36	1668044647	Y
alexandercox71@ucsd.edu	UCI	Data Set 23	1671055474	N
alexandercox71@ucsd.edu	UCD	Data Set 39	1667845015	N
alexandercox71@ucsd.edu	UCI	Data Set 28	1671795052	N
alexandercox71@ucsd.edu	UCSD	Data Set 19	1669297666	N
alexandercox71@ucsd.edu	UCSD	Data Set 16	1670776156	Y
alexandercox71@ucsd.edu	UCD	Data Set 33	1667606150	N
alexandercox71@ucsd.edu	UCI	Data Set 27	1670997596	N
alexandercox71@ucsd.edu	UCI	Data Set 21	1671412435	Y
alexandercox71@ucsd.edu	UCD	Data Set 31	1668097311	N
alexandercox71@ucsd.edu	UCI	Data Set 24	1669610837	N
alexandercox71@ucsd.edu	UCD	Data Set 310	1668955912	N
alexandercox71@ucsd.edu	UCI	Data Set 210	1669713104	N
alexandercox71@ucsd.edu	UCSD	Data Set 11	1667345084	N
alexandercox71@ucsd.edu	UCI	Data Set 29	1672296341	N
alexandercox71@ucsd.edu	UCSD	Data Set 13	1672247160	N
alexandercox71@ucsd.edu	UCI	Data Set 25	1671852208	N
agreen31@ucsd.edu	UCSD	Data Set 17	1671223965	N
agreen31@ucsd.edu	UCI	Data Set 27	1668798662	N
agreen31@ucsd.edu	UCI	Data Set 25	1671097928	N
agreen31@ucsd.edu	UCI	Data Set 21	1667303032	Y
agreen31@ucsd.edu	UCD	Data Set 39	1668666637	N
agreen31@ucsd.edu	UCD	Data Set 32	1669372216	N
agreen31@ucsd.edu	UCD	Data Set 34	1669896717	N
agreen31@ucsd.edu	UCD	Data Set 36	1669820346	Y
agreen31@ucsd.edu	UCSD	Data Set 18	1672118753	Y
agreen31@ucsd.edu	UCSD	Data Set 16	1667532666	Y
agreen31@ucsd.edu	UCSD	Data Set 15	1667474836	N
agreen31@ucsd.edu	UCD	Data Set 38	1669017608	Y
agreen31@ucsd.edu	UCSD	Data Set 19	1669404740	N
agreen31@ucsd.edu	UCI	Data Set 26	1669832411	N
agreen31@ucsd.edu	UCD	Data Set 310	1670110309	N
agreen31@ucsd.edu	UCSD	Data Set 110	1670047807	N
agreen31@ucsd.edu	UCI	Data Set 29	1669658919	N
awalker24@ucsd.edu	UCSD	Data Set 15	1668377378	N
awalker24@ucsd.edu	UCSD	Data Set 19	1670017789	Y
awalker24@ucsd.edu	UCSD	Data Set 11	1669415078	N
awalker24@ucsd.edu	UCI	Data Set 22	1671715967	N
awalker24@ucsd.edu	UCD	Data Set 310	1667432721	N
awalker24@ucsd.edu	UCSD	Data Set 110	1667600584	N
awalker24@ucsd.edu	UCD	Data Set 32	1667659908	N
awalker24@ucsd.edu	UCSD	Data Set 13	1670503811	N
awalker24@ucsd.edu	UCSD	Data Set 18	1669266443	N
awalker24@ucsd.edu	UCI	Data Set 23	1669397254	N
awalker24@ucsd.edu	UCI	Data Set 25	1670357305	N
awalker24@ucsd.edu	UCD	Data Set 34	1672369654	N
awalker24@ucsd.edu	UCSD	Data Set 12	1672257904	N
awalker24@ucsd.edu	UCI	Data Set 29	1672291934	N
awalker24@ucsd.edu	UCD	Data Set 33	1670414127	N
awalker24@ucsd.edu	UCI	Data Set 26	1671368312	N
awalker24@ucsd.edu	UCSD	Data Set 14	1667305628	N
awalker24@ucsd.edu	UCD	Data Set 38	1671508156	Y
ag@ucsd.edu	UCSD	Data Set 15	1668539175	N
ag@ucsd.edu	UCI	Data Set 29	1669019019	N
ag@ucsd.edu	UCSD	Data Set 16	1672147782	Y
ag@ucsd.edu	UCSD	Data Set 13	1667640544	N
ag@ucsd.edu	UCSD	Data Set 19	1670928864	N
ag@ucsd.edu	UCI	Data Set 26	1669501161	N
ag@ucsd.edu	UCSD	Data Set 12	1670917676	N
ag@ucsd.edu	UCSD	Data Set 14	1671995043	N
ag@ucsd.edu	UCD	Data Set 39	1671246964	N
ag@ucsd.edu	UCSD	Data Set 11	1668727541	N
ag@ucsd.edu	UCD	Data Set 31	1671254158	N
ag@ucsd.edu	UCD	Data Set 38	1668183994	Y
ag@ucsd.edu	UCSD	Data Set 17	1670949881	N
ag@ucsd.edu	UCI	Data Set 25	1671412382	N
ag@ucsd.edu	UCI	Data Set 27	1670944502	N
bm30@ucsd.edu	UCI	Data Set 23	1669363184	Y
bm30@ucsd.edu	UCSD	Data Set 18	1671221227	N
bm30@ucsd.edu	UCD	Data Set 39	1668869864	N
bm30@ucsd.edu	UCI	Data Set 24	1669312167	Y
bm30@ucsd.edu	UCI	Data Set 21	1667892579	Y
bm30@ucsd.edu	UCSD	Data Set 11	1668487960	Y
bm30@ucsd.edu	UCI	Data Set 27	1670900004	Y
bm30@ucsd.edu	UCD	Data Set 38	1669881935	Y
bm30@ucsd.edu	UCSD	Data Set 110	1671166650	N
bm30@ucsd.edu	UCI	Data Set 29	1670285494	Y
bm30@ucsd.edu	UCD	Data Set 37	1667905734	Y
bm30@ucsd.edu	UCI	Data Set 28	1667619253	N
bm30@ucsd.edu	UCI	Data Set 25	1667992932	N
bm30@ucsd.edu	UCI	Data Set 26	1670441568	N
bm30@ucsd.edu	UCD	Data Set 36	1668379320	Y
bm30@ucsd.edu	UCSD	Data Set 14	1671309375	Y
bm30@ucsd.edu	UCSD	Data Set 12	1670036679	Y
bm30@ucsd.edu	UCSD	Data Set 19	1668256371	Y
bm30@ucsd.edu	UCD	Data Set 33	1668249956	Y
bm30@ucsd.edu	UCI	Data Set 22	1669674564	N
bm30@ucsd.edu	UCSD	Data Set 13	1669022395	Y
bm30@ucsd.edu	UCI	Data Set 210	1667797795	Y
bm30@ucsd.edu	UCD	Data Set 310	1669303888	N
bm30@ucsd.edu	UCD	Data Set 34	1671380224	Y
brandone4@ucsd.edu	UCSD	Data Set 11	1669477367	N
brandone4@ucsd.edu	UCI	Data Set 28	1672086488	N
brandone4@ucsd.edu	UCSD	Data Set 13	1668309862	N
brandone4@ucsd.edu	UCD	Data Set 310	1671024988	Y
brandone4@ucsd.edu	UCSD	Data Set 14	1668973587	N
brandone4@ucsd.edu	UCI	Data Set 25	1670556248	N
brandone4@ucsd.edu	UCD	Data Set 33	1671313719	N
brandone4@ucsd.edu	UCI	Data Set 21	1672082886	Y
brandone4@ucsd.edu	UCI	Data Set 23	1670561614	N
brandone4@ucsd.edu	UCI	Data Set 24	1670635692	N
brandone4@ucsd.edu	UCSD	Data Set 16	1670859040	Y
brandone4@ucsd.edu	UCD	Data Set 36	1669488776	Y
brandone4@ucsd.edu	UCI	Data Set 210	1667350292	N
brandone4@ucsd.edu	UCSD	Data Set 18	1671363448	Y
brandone4@ucsd.edu	UCI	Data Set 22	1670364419	N
brandone4@ucsd.edu	UCD	Data Set 37	1670633191	N
brandone4@ucsd.edu	UCD	Data Set 39	1672422232	N
brandone4@ucsd.edu	UCSD	Data Set 17	1670649822	N
brandone4@ucsd.edu	UCD	Data Set 35	1668881755	N
brandone4@ucsd.edu	UCI	Data Set 29	1668519227	Y
brandone4@ucsd.edu	UCI	Data Set 27	1670959989	N
brandone4@ucsd.edu	UCD	Data Set 38	1672041014	Y
brandone4@ucsd.edu	UCD	Data Set 31	1670603843	N
bphillips7@ucsd.edu	UCI	Data Set 29	1672161232	N
bphillips7@ucsd.edu	UCI	Data Set 24	1667897799	N
bphillips7@ucsd.edu	UCD	Data Set 37	1668777492	N
bphillips7@ucsd.edu	UCSD	Data Set 13	1669930043	N
bphillips7@ucsd.edu	UCSD	Data Set 12	1669468570	N
bphillips7@ucsd.edu	UCD	Data Set 31	1670870135	N
bphillips7@ucsd.edu	UCI	Data Set 28	1670667618	N
